image,mature_count,other_count,maturity_percent,mature_conf_mean
Healthy_Cotton_Boll40.JPG,1,0,46.84,0.468
Healthy_Cotton_Boll41.JPG,1,0,27.58,0.276
Healthy_Cotton_Boll42.JPG,1,0,33.02,0.330
Healthy_Cotton_Boll43.JPG,1,0,43.09,0.431
